24510151300,Central Park Heights, Baltimore, MD,0.0549,Black
24510150200,Sandtown-Winchester, Baltimore, MD,0.0545,Black
24510160400,Midtown Edmondson, Baltimore, MD,0.0545,Black
24510260403,Cedonia, Baltimore, MD,0.0544,Black
24510090400,Better Waverly, Baltimore, MD,0.0541,Black
24510271801,Arlington, Baltimore, MD,0.054,Black
24510120700,Remington, Baltimore, MD,0.0528,Black
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0526,Black
24510250102,Yale Heights, Baltimore, MD,0.0523,Black
24510260501,Joseph Lee, Baltimore, MD,0.0523,Black
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.0517,Black
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.0517,Black
24510110100,Downtown, Baltimore, MD,0.0514,Black
24510080101,Belair - Edison, Baltimore, MD,0.0512,Black
24510260302,Belair - Edison, Baltimore, MD,0.0507,Black
24510271900,Glen, Baltimore, MD,0.0506,Black
24510160500,Bridgeview-Greenlawn, Baltimore, MD,0.0505,Black
24005401302,Gwynn Oak, Baltimore, MD,0.0505,Black
24510080600,Broadway East, Baltimore, MD,0.0505,Black
24510260201,Frankford, Baltimore, MD,0.0504,Black
24510150701,Hanlon Longwood, Baltimore, MD,0.0503,Black
24510150900,Windsor Hills, Baltimore, MD,0.0501,Black
24510280301,Gwynn Oak, Baltimore, MD,0.0491,Black
24510030200,Little Italy, Baltimore, MD,0.0489,Black
24510272004,Cheswolde, Baltimore, MD,0.0487,Black
24510200500,Mill Hill, Baltimore, MD,0.0486,Black
24510270402,Glenham-Belford, Baltimore, MD,0.0482,Black
24510260101,Cedmont, Baltimore, MD,0.048,Black
24510271002,Winston - Govans, Baltimore, MD,0.0477,Black
24510210200,Pigtown, Baltimore, MD,0.0477,Black
24510030100,Perkins Homes, Baltimore, MD,0.0473,Black
24510260303,Claremont - Freedom, Baltimore, MD,0.047,Black
24510250101,Beechfield, Baltimore, MD,0.0462,Black
24510260102,Frankford, Baltimore, MD,0.0449,Black
24510150400,Mondawmin, Baltimore, MD,0.0448,Black
24510160300,Sandtown-Winchester, Baltimore, MD,0.0439,Black
24510150702,Walbrook, Baltimore, MD,0.0438,Black
24510270903,Hillen, Baltimore, MD,0.0431,Black
24003750201,Brooklyn, Baltimore, MD,0.0426,Black
24510280200,Gwynn Oak, Baltimore, MD,0.0425,Black
24510270802,Ramblewood, Baltimore, MD,0.0417,Black
24510270901,New Northwood, Baltimore, MD,0.0405,Black
24510270902,Perring Loch, Baltimore, MD,0.0402,Black
24510151000,Dorchester, Baltimore, MD,0.0401,Black
24510090500,Better Waverly, Baltimore, MD,0.0398,Black
24510270805,Mid-Govans, Baltimore, MD,0.0395,Black
24510260203,Frankford, Baltimore, MD,0.0392,Black
24005402405,Gwynn Oak, Baltimore, MD,0.0392,Black
24510160600,Mosher, Baltimore, MD,0.0387,Black
24510270102,Waltherson, Baltimore, MD,0.0385,Black
24510250500,Curtis Bay, Baltimore, MD,0.038,Black
24510150800,Garwyn Oaks, Baltimore, MD,0.0378,Black
24510280101,Reisterstown Station, Baltimore, MD,0.0375,Black
24005402306,Windsor Mill, Baltimore, MD,0.037,Black
24510271802,Langston Hughes, Baltimore, MD,0.0369,Black
24510280404,Irvington, Baltimore, MD,0.0362,Black
24510270401,Glenham-Belford, Baltimore, MD,0.0346,Black
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.0339,Black
24510270200,Lauraville, Baltimore, MD,0.0338,Black
24510270804,Lake Walker, Baltimore, MD,0.0336,Black
24510272007,Fallstaff, Baltimore, MD,0.0331,Black
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.0329,Black
24510151100,East Arlington, Baltimore, MD,0.0325,Black
24005402303,Windsor Mill, Baltimore, MD,0.0321,Black
24510270803,Loch Raven, Baltimore, MD,0.0313,Black
24510270301,Lauraville, Baltimore, MD,0.031,Black
24510260605,Medford - Broening, Baltimore, MD,0.0307,Black
24005402304,Gwynn Oak, Baltimore, MD,0.0305,Black
24510270801,Idlewood, Baltimore, MD,0.0296,Black
24510271101,Radnor - Winston, Baltimore, MD,0.0262,Black
